episode,current_threshold,action,proposed_threshold,simulated_false_alert_rate,simulated_ignored_rate,simulated_delayed_rate,simulated_useful_alert_rate,simulated_critical_preservation_rate,simulated_reliability_score,reward,safety_violation_flag,simulation_note
1,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
2,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
3,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
4,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
5,0.65,lower_threshold,0.62,0.0725,0.0592,0.0757,0.8578,0.998,0.8453,-1.1489,True,Simulation-only threshold experiment; no real threshold or model file changed.
6,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
7,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
8,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
9,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
10,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
11,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
12,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
13,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
14,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
15,0.65,raise_threshold,0.68,0.0281,0.0422,0.0579,0.8159,0.994,0.8596,-1.11427,True,Simulation-only threshold experiment; no real threshold or model file changed.
16,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
17,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
18,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
19,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
20,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
21,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
22,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
23,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
24,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
25,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
26,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
27,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
28,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
29,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
30,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
31,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
32,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
33,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
34,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
35,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
36,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
37,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
38,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
39,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
40,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
41,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
42,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
43,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
44,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
45,0.65,raise_threshold,0.68,0.0281,0.0422,0.0579,0.8159,0.994,0.8596,-1.11427,True,Simulation-only threshold experiment; no real threshold or model file changed.
46,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
47,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
48,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
49,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
50,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
51,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
52,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
53,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
54,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
55,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
56,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
57,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
58,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
59,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
60,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
61,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
62,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
63,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
64,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
65,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
66,0.65,keep_threshold,0.65,0.0461,0.0482,0.0629,0.8428,1.0,0.9067,0.216,False,Simulation-only threshold experiment; no real threshold or model file changed.
